1.25664 5.78053  -7.7146
1.25664 6.03186  3.880102
1.25664 6.28319  4.38491
1.50796 0  0.35738
1.50796 0.251327  0.13134
1.50796 0.502655  0.33055
1.50796 0.753982  1.98801
1.50796 1.00531  6.20134
1.50796 1.25664  12.45075
1.50796 1.50796  16.5541
1.50796 1.75929  12.41445
1.50796 2.01062  1.48881
1.50796 2.26195  -1.28314
1.50796 2.51327  10.75132
1.50796 2.7646  12.63039
1.50796 3.01593  -2.45655
1.50796 3.26726  5.29541
1.50796 3.51858  11.40975
1.50796 3.76991  -4.78327
1.50796 4.02124  11.52524
1.50796 4.27257  -2.17562
1.50796 4.52389  6.81747
1.50796 4.77522  -1.16842
1.50796 5.02655  6.57229
1.50796 5.27788  -5.17812
1.50796 5.5292  9.65599
1.50796 5.78053  -7.9381
1.50796 6.03186  3.662311
1.50796 6.28319  4.17305
1.75929 0  0.05922
1.75929 0.251327  -0.16668
1.75929 0.502655  0.03296
1.75929 0.753982  1.69112
1.75929 1.00531  5.90544
1.75929 1.25664  12.15611
1.75929 1.50796  16.261
1.75929 1.75929  12.12318
1.75929 2.01062  1.19963
1.75929 2.26195  -1.56995
1.75929 2.51327  10.46715
1.75929 2.7646  12.34912
1.75929 3.01593  -2.73465
1.75929 3.26726  5.02074
1.75929 3.51858  11.13876
1.75929 3.76991  -5.05032
1.75929 4.02124  11.26238
1.75929 4.27257  -2.43406
1.75929 4.52389  6.5637
1.75929 4.77522  -1.41728
1.75929 5.02655  6.32856
1.75929 5.27788  -5.41649
1.75929 5.5292  9.42319
1.75929 5.78053  -8.1651
1.75929 6.03186  3.441282
1.75929 6.28319  3.958205
2.01062 0  -0.24527
2.01062 0.251327  -0.47103
2.01062 0.502655  -0.27095
2.01062 0.753982  1.38795
2.01062 1.00531  5.6033
2.01062 1.25664  11.85529
2.01062 1.50796  15.9618
2.01062 1.75929  11.82587
2.01062 2.01062  0.90451
2.01062 2.26195  -1.8626
2.01062 2.51327  10.17725
2.01062 2.7646  12.06225
2.01062 3.01593  -3.01822
2.01062 3.26726  4.74075
2.01062 3.51858  10.86261
2.01062 3.76991  -5.32236
2.01062 4.02124  10.99471
2.01062 4.27257  -2.69711
2.01062 4.52389  6.30552
2.01062 4.77522  -1.67036
2.01062 5.02655  6.08083
2.01062 5.27788  -5.65864
2.01062 5.5292  9.18684
2.01062 5.78053  -8.3954
2.01062 6.03186  3.217192
2.01062 6.28319  3.740556
2.26195 0  -0.55586
